Count,Description,Model Number,Serial Number,MAC ID,Location
,Air Fiber with 5x HD - 1831P788A205FA990,,,,
,Air Fiber ,AF-%G30-S45,AF5L12258,,
,,,,,
2,Universal kit of 3G 4G LTE connectors for any Net Devices,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
2,Black Antenna,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
2,small black antenna,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,915/ MHz / 8 dBi gain ribber duck Lora Antenna,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,900MHz black antenna,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Omni Antenna 430-460MHz,20400433V1,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Laird Omni Antenna,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,698-2700MHz 5-8dBi 2G 3G 4G LTE Antenna,,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH1 2500-2700MHz 4.5 dBi,TQJ-2500/2700 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH2 700-800MHz 4.5 dBi,TQJ-700/800 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,,TQJ-1800/1990 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH4 1800-1990MHz 4.5 dBi,TQJ-1800/1990 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH5 850-985MHz 4.5 dBi,TQJ-850/985 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH6 1800-1990MHz 4.5 dBi,TQJ-1800/1990 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH7 2300-2500MHz 4.5 dBi,TQJ-2300/2500 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,Antenna CH8 2100-2180MHz 4.5 dBi,TQJ-2100/2180 - 4.5,,,"Radio Room, inside Magazine Box between rack 0 and Table 2"
,,,,,
,DTAPE Laser Distance Meter,DT100,,,"Radio Room, Table 2, Left Drawer"
,Bosch GLM35 Backlight Measuring Tool 3 601 K72 B12,,,,"Radio Room, Table 2, Left Drawer"
,Archos 7c Home Tablet,,,,"Radio Room, Table 2 Center Drawer"
,ZyXEL Home Plug AV2 Powerline Pass Thru 2 port Gigabit Ethernet Adapter,,S1741020009282,,"Radio Room, box under Table 2"
,ZyXEL Home Plug AV2 Powerline Pass Thru 2 port Gigabit Ethernet Adapter,,S1741020009694,,"Radio Room, box under Table 2"
,standoff,,,,"Radio Room, box under Table 2"
5,black plate for temperature scan,,,,"Radio Room, box under Table 2"
5,CPE,,,,"Radio Room, box under Table 2"
,Motorola XPR8400 (July 2022 pulled out - Antipolo),,,,"Radio Room, under Table 1"
,Motorola XPR8300 (a joint project of Phil. Red Cross and Senator Honasan),,,,"Radio Room, under Table 1"
,"Motorola DR300 (BF Repeater 452-457) (last touched Feb 12, 2021)",,,,"Radio Room, under Table 1"
,,,,,
,Mount Cable Management 1U - 4 boxes,,,,"Radio Room, under Rack 0"
,Mast Kit,,,,"Radio Room, under Rack 0"
,Wonderful Safety Equipment - in black case,,,,"Radio Room, Rack 0, Level 1"
,Motorola Quantar Base Station/Repeater,,,,"Radio Room, Rack 0, Level 1"
4,Circuit Breaker Box,,,,"Radio Room, Rack 0, Level 1"
,Aluminum Case,,,,"Radio Room, Rack 0, Level 1"
1,Proxicast Panel Antenna 698-960/1710-2700 MHz 7/10dBi,ANT-129-001,,,"Radio Room, Wooden Cabinet top level"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18084100736,,"Radio Room, Rack 0, Level 1"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18064105441,,"Radio Room, Rack 0, Level 1"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18124102919,,"Radio Room, Rack 0, Level 1"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18124102903,,"Radio Room, Rack 0, Level 1"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18124104557,,"Radio Room, Rack 0, Level 1"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18124102926,,"Radio Room, Rack 0, Level 1"
,Ubiquiti Ethernet Surge Protector (inside fine storage box),ETH-SP-G2,18124102923,,"Radio Room, Rack 0, Level 1"
,,,,,
,Freshfield Microwave System 100WATT 1800-2000MHz,FMS015-3021,,,"Radio Room, Rack 0, Level 2"
,Liehuo WiFi Repeater Panel Antenna 2.4GHz 14dBi,,,,c/o Sir Dennis' house
,Solar Charge Controller color orange,,,,"Radio Room, Rack 0, Level 2"
,Parallel Wireless,,,,Scada Room Rack under the refrigerator last level
,Parallel Wireless,CW-2050-01,40000132,,Scada Room Rack under the refrigerator last level
,Parallel Wireless,CW-2050-01,40000138,,Scada Room Rack under the refrigerator last level
,APC Battery Backup,BX650LI-MS,9B1818A01315,,Scada Room Rack under the refrigerator last level
,APC Battery Backup,BX650LI-MS,9B1818A01316,,Scada Room Rack under the refrigerator last level
,radio - defective PMTE4004AS,,,,"Radio Room, Rack 0, Level 2"
,,,,,
10,Welcome Tag / LED Name Badge,,,,Unit G - Single Room - Pelican Brown - Cabinet 2nd level
13,Raspberry Pi w/ case and power supply,,,,Unit G - Single Room - Pelican Brown - Cabinet 2nd level
15,Dongle (13pcs attached to raspberry pi),,,,Unit G - Single Room - Pelican Brown - Cabinet 2nd level
2,12C 16x2 LCD+Keypad Kit for Pi,P1107B,,,"Radio Room, Rack 0, Level 3 (Box 2)"
2,RGB Backlight positive LCD 16x2,P398B,,,"Radio Room, Rack 0, Level 3 (Box 2)"
5,Adafruit PIOLED  (C9778-002),P3527B,,,"Radio Room, Rack 0, Level 3 (Box 2)"
,GPS Clock for SDR,,,,"Radio Room, Rack 0, Level 3 (Box 2)"
3,Bad Radio for CPE,,X0020M57PF,,"Radio Room, Rack 0, Level 3 (Box 2)"
,A011-M3 Black Standoff,,,,"Radio Room, Rack 0, Level 3 (Box 2)"
,Linksys Router,EA9300,18R10604718503,,"Radio Room, Rack 0, Level 3 (Box 2)"
,Linksys Power Supply 12V 5A,DA-60M12,,,"Radio Room, Rack 0, Level 3 (Box 2)"
,WiFi Pineapple Mark VII,,1480838,00:13:37:A8:16:43,"Radio Room, Rack 0, Level 3 (Box 2)"
,Parallela open case and cooling kit,,,,"Radio Room, Rack 0, Level 3 (Box 2)"
2,Raspberry Pi for Sir Dennis,,,,"Radio Room, Rack 0, Level 3 (Box 2)"
2,Power Supply for raspberry pi for Sir Dennis,,,,"Radio Room, Rack 0, Level 3 (Box 2)"
2,Raspberry Pi case for Sir Dennis,,,,"Radio Room, Rack 0, Level 3 (Box 2)"
,AC/DC Adaptor 5V 3A,0530,,,"Radio Room, Rack 0, Level 3 (Box 2)"
4,Buck Converter voltage regulator (inside zip lock),,,,"Radio Room, Rack 0, Level 3 (Box 2)"
3,Buck Converter voltage regulator (inside zip lock),,,,"Radio Room, Rack 0, Level 3 (Box 2)"
2,double channel pass filter UHF (CH23;524-530MHz) (CH17; 488-494MHz),,,,"Radio Room, Rack 0, Level 3 (Box 2)"
,ASUS Tinker Board,90MB0QY1-M0AAY0,JBM0D3005359,,"Radio Room, Rack 1, Level 4 (Box 3)"
,ASUS Tinker Board,90MB0QY1-M0AAY0,JBM0D3005367,,"Radio Room, Rack 1, Level 4 (Box 3)"
24,Black Heat Sink,,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,LED Diode w/ resistor (inside zip lock),,,,"Radio Room, Rack 1, Level 4 (Box 3)"
4,e-Gizmo printed circuit board (inside zip lock) ,EGPC-02,,,"Radio Room, Rack 1, Level 4 (Box 3)"
,hook-up wire red and black (inside zip lock),,,,"Radio Room, Rack 1, Level 4 (Box 3)"
9,Circuit Rocks 8x5050 RGB LED w/ integrated drivers (brown box),,,,"Radio Room, Rack 1, Level 4 (Box 3)"
8,Circuit Rocks 8x5050 RGB LED w/ integrated drivers (brown box),,,,"Radio Room, Rack 1, Level 4 (Box 3)"
6,"PiTFT Plus Assembled 480x320 3.5"" TFT+Touchscreen for Raspberry Pi",X0010BCTAN,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
2,Pi Enclosure - Raspberry Pi 4 Case for model B/4B,X002AZHH8R,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,"Treedix 3.5"" TFT Touch Screen LCD Type",SKU TX2-0086,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,seeed studio,W10 Terminal D5 1R,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,Mobile phone OTG Connect kit,S-K07,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,Eleduino Raspberry Pi 3 enclosure case black,X000PXGAC5,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,Geeetech SIMCOM SIM900 forArduino/Iduino,866771028688231,MP8615412326939,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,CLAATEK CLAA GPS Locator,LOT CA62-T,2019032600000080,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
2,SEEED Grove LED Bar v2.0 (GD) Module,104020193,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
,ODRIOD-C2 Rec0.2 20160226,,,,"Radio Room, Rack 0, Level 3 (inside stackable office box)"
